vintage_period,target_quarter,impact_date,block,block_label,factor_name,signed_block_news,abs_block_news
2000-01,2000Q1,,,,,,
2000-04,2000Q2,2000-06,,,,1.0758476143476376,1.0758476143476376
2000-05,2000Q2,2000-06,demand_orders_inventories,Demand / orders / inventories,demand,0.000321422053523433,0.000321422053523433
2000-05,2000Q2,2000-06,financial_conditions,Financial conditions,financial,0.0005037657736724088,0.0005037657736724088
2000-05,2000Q2,2000-06,housing_construction,Housing & construction,housing,-0.0005297795803723682,0.0005297795803723682
2000-05,2000Q2,2000-06,labor_market,Labor market,labor,-0.0011843589659126593,0.0011843589659126593
2000-05,2000Q2,2000-06,prices_inflation,Prices & inflation,prices,-0.00019973438881518526,0.00019973438881518526
2000-05,2000Q2,2000-06,real_activity_income,Real activity & income,real_activity,0.00037557050085890446,0.00037557050085890446
2000-05,2000Q2,2000-06,,,,-70.4799998058228,70.4799998058228
2000-06,2000Q2,2000-06,demand_orders_inventories,Demand / orders / inventories,demand,4.88473446335e-05,4.88473446335e-05
2000-06,2000Q2,2000-06,financial_conditions,Financial conditions,financial,-0.00020558413902213154,0.00020558413902213154
2000-06,2000Q2,2000-06,housing_construction,Housing & construction,housing,9.270140007721878e-05,9.270140007721878e-05
2000-06,2000Q2,2000-06,labor_market,Labor market,labor,0.00035797174230919697,0.00035797174230919697
2000-06,2000Q2,2000-06,prices_inflation,Prices & inflation,prices,-4.9228257076151596e-05,4.9228257076151596e-05
2000-06,2000Q2,2000-06,real_activity_income,Real activity & income,real_activity,-9.219563407253338e-05,9.219563407253338e-05
2000-06,2000Q2,2000-06,,,,-42.010144467106265,42.010144467106265
